carrera,edad,materias_aprobadas
Medicina,24,3
Ingenieria Civil,20,4
Derecho,18,5
Ingenieria Civil,23,3
Administracion de Empresas,21,3
Medicina,27,6
Ingenieria Informatica,23,5
Psicologia,18,3
Ingenieria Informatica,18,6
Medicina,20,4
Administracion de Empresas,20,5
Administracion de Empresas,24,6
Derecho,21,3
Ingenieria Informatica,25,2
Medicina,20,4
Derecho,24,2
Economia,24,4
Psicologia,18,4
Ingenieria Civil,25,1
Psicologia,22,6
Administracion de Empresas,23,4
Ingenieria Informatica,19,7
Derecho,25,5
Derecho,18,6
Derecho,24,7
Administracion de Empresas,24,4
Administracion de Empresas,19,4
Medicina,28,1
Administracion de Empresas,22,7
Ingenieria Informatica,23,4
Psicologia,18,2
Ingenieria Informatica,28,6
Ingenieria Informatica,18,1
Medicina,26,4
Derecho,19,6
Medicina,21,4
Medicina,25,3
Administracion de Empresas,25,4
Medicina,20,1
Ingenieria Civil,25,6
Ingenieria Civil,25,4
Administracion de Empresas,19,4
Medicina,27,4
Psicologia,18,5
Ingenieria Informatica,20,6
Administracion de Empresas,23,4
Medicina,20,2
Ingenieria Civil,22,6
Ingenieria Informatica,22,5
Administracion de Empresas,21,5
Psicologia,24,7
Administracion de Empresas,21,5
Ingenieria Informatica,22,7
Economia,25,7
Administracion de Empresas,24,6
Derecho,24,3
Ingenieria Informatica,18,4
Administracion de Empresas,23,7
Medicina,20,2
Ingenieria Informatica,18,4
Ingenieria Informatica,21,4
Arquitectura,19,3
Ingenieria Informatica,24,6
Ingenieria Informatica,24,5
Administracion de Empresas,18,3
Psicologia,19,6
Ingenieria Informatica,18,4
Administracion de Empresas,20,3
Ingenieria Informatica,23,3
Ingenieria Informatica,21,5
Ingenieria Informatica,20,6
Arquitectura,25,4
Ingenieria Informatica,18,6
Ingenieria Informatica,25,8
Medicina,21,2
Arquitectura,21,5
Medicina,21,6
Medicina,27,4
Ingenieria Informatica,18,7
Medicina,23,9
Administracion de Empresas,23,5
Administracion de Empresas,18,4
Medicina,20,6
Medicina,22,6
Ingenieria Informatica,19,1
Medicina,20,4
Ingenieria Informatica,20,4
Psicologia,23,5
Economia,20,4
Economia,25,4
Arquitectura,19,3
Derecho,18,6
Derecho,27,8
Medicina,21,3
Derecho,18,2
Administracion de Empresas,18,5
Administracion de Empresas,25,4
Psicologia,20,7
Medicina,22,2
Medicina,22,3
Ingenieria Civil,25,1
Ingenieria Informatica,21,7
Administracion de Empresas,29,5
Ingenieria Civil,22,4
Derecho,25,2
Administracion de Empresas,24,2
Ingenieria Informatica,21,5
Medicina,21,2
Arquitectura,22,5
Administracion de Empresas,23,9
Administracion de Empresas,20,4
Ingenieria Informatica,22,3
Ingenieria Informatica,25,5
Economia,28,2
Medicina,25,8
Derecho,27,7
Ingenieria Informatica,20,4
Derecho,24,3
Ingenieria Civil,26,4
Administracion de Empresas,19,4
Ingenieria Informatica,20,5
Administracion de Empresas,27,7
Psicologia,19,2
Medicina,20,7
Arquitectura,26,6
Derecho,25,3
Arquitectura,23,2
Derecho,21,5
Ingenieria Informatica,20,2
Medicina,23,7
Ingenieria Informatica,26,2
Ingenieria Civil,22,6
Psicologia,28,4
Derecho,19,3
Medicina,22,4
Ingenieria Informatica,20,7
Psicologia,18,2
Administracion de Empresas,21,4
Ingenieria Informatica,23,3
Derecho,23,4
Ingenieria Informatica,28,3
Medicina,24,1
Administracion de Empresas,25,2
Ingenieria Informatica,22,8
Economia,27,5
Ingenieria Informatica,29,5
Ingenieria Informatica,23,4
Ingenieria Informatica,19,4
Psicologia,20,4
Medicina,23,6
Administracion de Empresas,23,5
Ingenieria Informatica,24,2
Ingenieria Informatica,23,5
Medicina,23,1
Psicologia,20,5
Arquitectura,23,2
Ingenieria Informatica,27,4
Administracion de Empresas,25,2
Ingenieria Civil,23,5
Medicina,26,6
Arquitectura,20,8
Ingenieria Informatica,20,1
Ingenieria Civil,19,6
Psicologia,21,5
Ingenieria Civil,20,4
Derecho,25,6
Medicina,21,4
Ingenieria Civil,19,6
Medicina,28,3
Medicina,21,3
Derecho,22,6
Psicologia,23,7
Ingenieria Civil,18,4
Ingenieria Informatica,25,1
Psicologia,23,4
Psicologia,26,5
Ingenieria Informatica,19,4
Medicina,23,5
Medicina,23,4
Medicina,23,6
Economia,18,2
Derecho,22,7
Derecho,18,8
Economia,23,3
Medicina,20,3
Psicologia,18,5
Medicina,25,2
Arquitectura,20,4
Ingenieria Informatica,19,7
Ingenieria Civil,25,6
Ingenieria Informatica,22,8
Medicina,25,5
Psicologia,21,3
Medicina,31,5
Derecho,20,4
Medicina,28,4
Psicologia,21,4
Ingenieria Informatica,18,3
Ingenieria Informatica,23,5
Medicina,23,2
Administracion de Empresas,18,3
Ingenieria Informatica,19,4
Medicina,22,1
Medicina,24,6
Ingenieria Informatica,18,1
Administracion de Empresas,25,6
Arquitectura,20,2
Ingenieria Informatica,18,4
Administracion de Empresas,24,6
Derecho,21,9
Medicina,26,5
Derecho,23,1
Medicina,22,6
Administracion de Empresas,21,4
Ingenieria Informatica,23,5
Derecho,20,6
Derecho,19,1
Ingenieria Informatica,23,5
Medicina,22,4
Economia,22,7
Medicina,26,6
Administracion de Empresas,21,1
Ingenieria Civil,22,7
Derecho,20,5
Administracion de Empresas,23,1
Psicologia,23,5
Arquitectura,24,7
Administracion de Empresas,20,2
Administracion de Empresas,20,7
Medicina,25,1
Economia,22,3
Derecho,19,3
Ingenieria Informatica,25,7
Arquitectura,18,4
Administracion de Empresas,24,2
Ingenieria Informatica,18,5
Administracion de Empresas,27,6
Medicina,20,6
Arquitectura,25,4
Ingenieria Informatica,21,5
Arquitectura,20,3
Administracion de Empresas,22,8
Ingenieria Informatica,23,7
Economia,19,7
Administracion de Empresas,19,6
Medicina,24,6
Administracion de Empresas,18,2
Arquitectura,20,6
Medicina,32,5
Ingenieria Informatica,19,7
Ingenieria Informatica,25,6
Medicina,21,6
Psicologia,23,1
Administracion de Empresas,23,4
Ingenieria Informatica,25,3
Ingenieria Informatica,21,5
Medicina,28,4
Ingenieria Civil,20,4
Medicina,23,5
Economia,22,4
Administracion de Empresas,18,5
Ingenieria Informatica,21,1
Arquitectura,22,3
Administracion de Empresas,20,6
Derecho,29,2
Economia,19,7
Ingenieria Informatica,25,6
Ingenieria Informatica,24,4
Psicologia,21,10
Medicina,20,7
Ingenieria Informatica,19,3
Ingenieria Informatica,20,6
Ingenieria Informatica,18,5
Psicologia,18,3
Ingenieria Informatica,18,2
Administracion de Empresas,26,6
Derecho,23,3
Medicina,25,4
Ingenieria Informatica,23,3
Psicologia,22,3
Ingenieria Informatica,26,4
Psicologia,20,5
Arquitectura,22,1
Medicina,25,5
Administracion de Empresas,18,3
Administracion de Empresas,31,7
Medicina,23,10
Arquitectura,22,4
Arquitectura,25,1
Medicina,25,5
Derecho,22,4
Ingenieria Civil,22,8
Economia,18,8
Administracion de Empresas,20,6
Administracion de Empresas,23,3
Medicina,24,6
Ingenieria Civil,25,5
Ingenieria Informatica,21,5
Administracion de Empresas,18,1
Medicina,26,7
Medicina,27,5
Medicina,25,4
Economia,21,3
Ingenieria Informatica,25,3
Administracion de Empresas,32,5
Ingenieria Informatica,22,1
Ingenieria Informatica,18,6
Medicina,21,2
Administracion de Empresas,23,1
Medicina,20,8
Medicina,23,3
Ingenieria Informatica,23,3
Medicina,27,7
Economia,25,8
Ingenieria Civil,24,1
Medicina,20,3
Administracion de Empresas,24,3
Ingenieria Civil,24,6
Ingenieria Informatica,22,8
Psicologia,18,2
Ingenieria Civil,19,7
Ingenieria Informatica,18,3
Ingenieria Informatica,18,5
Economia,21,2
Administracion de Empresas,19,4
Ingenieria Informatica,29,4
Medicina,22,4
Medicina,26,5
Derecho,18,2
Psicologia,20,3
Economia,22,5
Medicina,20,7
Administracion de Empresas,20,4
Administracion de Empresas,21,6
Medicina,22,6
Ingenieria Informatica,27,6
Economia,23,3
Arquitectura,23,3
Administracion de Empresas,23,3
Derecho,23,8
Ingenieria Informatica,21,6
Administracion de Empresas,21,5
Derecho,22,5
Administracion de Empresas,25,2
Economia,25,8
Derecho,21,5
Medicina,25,6
Psicologia,21,1
Ingenieria Informatica,22,6
Medicina,21,4
Medicina,22,2
Medicina,27,3
Psicologia,22,2
Administracion de Empresas,22,2
Psicologia,18,5
Administracion de Empresas,21,4
Medicina,22,5
Psicologia,19,8
Ingenieria Informatica,22,4
Ingenieria Informatica,20,1
Administracion de Empresas,22,4
Medicina,23,7
Ingenieria Informatica,19,4
Derecho,20,8
Administracion de Empresas,22,5
Medicina,26,1
Economia,22,5
Administracion de Empresas,20,5
Arquitectura,23,7
Ingenieria Informatica,27,8
Administracion de Empresas,24,6
Arquitectura,23,5
Administracion de Empresas,24,6
Derecho,26,4
Medicina,26,2
Ingenieria Informatica,23,5
Administracion de Empresas,25,5
Medicina,20,2
Arquitectura,18,7
Ingenieria Informatica,22,7
Economia,22,2
Ingenieria Civil,20,7
Ingenieria Informatica,24,4
Medicina,20,3
Arquitectura,20,7
Economia,20,4
Medicina,20,8
Medicina,27,3
Administracion de Empresas,18,1
Derecho,20,4
Medicina,25,6
Psicologia,23,3
Ingenieria Informatica,18,2
Ingenieria Informatica,24,5
Medicina,23,2
Medicina,29,5
Medicina,24,4
Administracion de Empresas,21,5
Medicina,20,2
Ingenieria Informatica,19,7
Medicina,20,4
Economia,26,6
Medicina,23,6
Medicina,24,2
Administracion de Empresas,26,6
Economia,18,2
Ingenieria Informatica,25,2
Derecho,22,8
Derecho,23,7
Derecho,19,9
Ingenieria Informatica,19,4
Derecho,23,5
Ingenieria Informatica,29,6
Administracion de Empresas,25,4
Psicologia,25,3
Ingenieria Informatica,21,3
Arquitectura,20,5
Ingenieria Informatica,19,2
Arquitectura,20,2
Administracion de Empresas,18,5
Ingenieria Informatica,19,4
Ingenieria Informatica,20,6
Ingenieria Civil,21,4
Ingenieria Informatica,22,3
Ingenieria Informatica,23,5
Medicina,22,3
Derecho,20,3
Administracion de Empresas,18,3
Ingenieria Informatica,20,4
Medicina,20,8
Ingenieria Informatica,23,2
Ingenieria Informatica,24,7
Medicina,25,6
Derecho,24,8
Ingenieria Informatica,21,10
Medicina,21,7
Medicina,20,6
Economia,18,2
Ingenieria Civil,24,2
Psicologia,21,5
Ingenieria Informatica,18,1
Ingenieria Informatica,19,6
Medicina,20,1
Medicina,23,7
Administracion de Empresas,25,4
Psicologia,20,5
Arquitectura,18,3
Arquitectura,21,1
Medicina,22,7
Derecho,21,7
Medicina,21,4
Ingenieria Informatica,22,6
Derecho,22,4
Ingenieria Informatica,21,5
Medicina,24,6
Medicina,21,6
Derecho,20,7
Psicologia,26,6
Medicina,24,5
Psicologia,24,3
Medicina,26,4
Medicina,24,6
Psicologia,24,1
Derecho,18,7
Economia,22,4
Ingenieria Informatica,21,3
Derecho,27,2
Derecho,24,6
Ingenieria Civil,20,4
Ingenieria Informatica,23,8
Psicologia,22,2
Administracion de Empresas,23,3
Medicina,20,4
Administracion de Empresas,23,3
Medicina,22,5
Administracion de Empresas,22,5
Arquitectura,19,5
Administracion de Empresas,20,8
Derecho,25,2
Administracion de Empresas,18,5
Ingenieria Informatica,19,3
Ingenieria Informatica,21,5
Administracion de Empresas,19,5
Medicina,20,3
Ingenieria Informatica,22,3
Administracion de Empresas,18,6
Medicina,20,5
Medicina,29,4
Administracion de Empresas,23,6
Ingenieria Informatica,19,6
Ingenieria Civil,23,3
Arquitectura,23,3
Derecho,24,2
Ingenieria Informatica,21,5
Psicologia,24,2
Psicologia,18,5
Psicologia,18,7
Ingenieria Informatica,22,4
Derecho,22,3
Arquitectura,19,8
Administracion de Empresas,22,8
Derecho,20,3
Administracion de Empresas,21,5
Administracion de Empresas,25,5
Ingenieria Informatica,24,5
Derecho,19,8
Ingenieria Informatica,18,5
Medicina,21,5
Medicina,22,6
Administracion de Empresas,20,7
Ingenieria Informatica,25,6
Derecho,23,6
Psicologia,23,1
Ingenieria Informatica,18,4
Ingenieria Informatica,25,6
Ingenieria Informatica,18,5
Arquitectura,24,6
Administracion de Empresas,24,8
Administracion de Empresas,20,2
Ingenieria Informatica,25,7
Derecho,21,4
Arquitectura,22,6
Arquitectura,23,4
Derecho,31,9
Ingenieria Informatica,26,5
Ingenieria Informatica,24,3
Ingenieria Informatica,19,5
Medicina,23,5
Ingenieria Informatica,19,7
Medicina,25,5
Medicina,23,9
Ingenieria Civil,18,4
Derecho,22,4
Arquitectura,19,3
Derecho,22,5
Ingenieria Informatica,19,5
Psicologia,22,5
Medicina,25,5
Derecho,21,3
Medicina,21,3
Economia,22,4
Medicina,25,7
Medicina,20,7
Ingenieria Civil,22,4
Ingenieria Informatica,25,3
Derecho,23,4
Psicologia,22,9
Arquitectura,23,6
Economia,23,6
Economia,24,6
Ingenieria Informatica,18,8
Arquitectura,18,2
Derecho,25,4
Derecho,18,3
Ingenieria Informatica,23,6
Derecho,20,5
Economia,19,6
Ingenieria Civil,23,3
Medicina,23,7
Ingenieria Informatica,28,4
Medicina,21,6
Arquitectura,26,7
Derecho,23,7
Administracion de Empresas,20,5
Ingenieria Informatica,24,6
Medicina,24,8
Administracion de Empresas,22,6
Ingenieria Civil,22,3
Derecho,20,6
Medicina,20,4
Administracion de Empresas,24,1
Ingenieria Informatica,21,5
Economia,21,5
Medicina,23,7
Administracion de Empresas,22,3
Medicina,20,1
Derecho,25,5
Derecho,22,5
Derecho,21,5
Medicina,24,5
Medicina,23,2
Ingenieria Informatica,24,4
Derecho,23,4
Ingenieria Informatica,24,7
Administracion de Empresas,26,5
Arquitectura,24,4
Arquitectura,21,8
Medicina,20,4
Administracion de Empresas,27,6
Ingenieria Informatica,21,4
Derecho,20,8
Arquitectura,18,5
Ingenieria Informatica,23,5
Medicina,23,4
Arquitectura,18,5
Arquitectura,23,7
Ingenieria Informatica,20,6
Administracion de Empresas,30,5
Ingenieria Informatica,20,8
Ingenieria Informatica,20,6
Ingenieria Civil,19,4
Arquitectura,25,2
Psicologia,20,4
Ingenieria Informatica,19,5
Arquitectura,24,6
Medicina,20,7
Medicina,24,2
Administracion de Empresas,27,4
Ingenieria Informatica,23,2
Psicologia,23,2
Administracion de Empresas,24,3
Ingenieria Informatica,27,5
Ingenieria Informatica,25,6
Ingenieria Informatica,23,3
Ingenieria Informatica,24,3
Administracion de Empresas,19,1
Arquitectura,24,5
Ingenieria Informatica,18,3
Ingenieria Informatica,20,8
Administracion de Empresas,18,5
Psicologia,23,4
Medicina,21,3
Medicina,26,2
Administracion de Empresas,23,2
Medicina,26,3
Ingenieria Informatica,18,3
Psicologia,25,3
Derecho,28,5
Administracion de Empresas,24,6
Psicologia,24,4
Derecho,22,8
Ingenieria Informatica,20,1
Medicina,25,5
Ingenieria Informatica,18,4
Ingenieria Informatica,20,3
Derecho,18,3
Arquitectura,19,4
Economia,23,4
Derecho,23,4
Ingenieria Informatica,22,2
Ingenieria Informatica,22,1
Psicologia,18,4
Administracion de Empresas,20,4
Derecho,19,4
Psicologia,20,4
Derecho,23,3
Arquitectura,19,4
Ingenieria Informatica,20,3
Psicologia,18,8
Arquitectura,21,3
Medicina,20,4
Derecho,22,3
Medicina,20,3
Ingenieria Civil,22,5
Ingenieria Informatica,21,4
Administracion de Empresas,27,4
Ingenieria Informatica,23,4
Derecho,18,3
Ingenieria Informatica,18,5
Ingenieria Informatica,22,9
Administracion de Empresas,19,3
Ingenieria Civil,18,5
Ingenieria Informatica,26,5
Ingenieria Informatica,24,6
Psicologia,23,6
Administracion de Empresas,20,5
Ingenieria Civil,23,4
Ingenieria Informatica,19,4
Derecho,22,3
Ingenieria Informatica,19,4
Ingenieria Informatica,26,2
Derecho,18,3
Administracion de Empresas,25,7
Psicologia,22,5
Medicina,21,6
Medicina,23,7
Medicina,25,4
Economia,26,5
Medicina,23,4
Medicina,20,3
Medicina,23,3
Administracion de Empresas,27,6
Medicina,27,5
Ingenieria Civil,24,8
Medicina,25,6
Arquitectura,24,3
Ingenieria Informatica,25,6
Derecho,20,4
Ingenieria Civil,18,7
Ingenieria Informatica,22,4
Economia,19,2
Administracion de Empresas,18,3
Ingenieria Civil,19,3
Derecho,29,3
Medicina,23,3
Ingenieria Informatica,23,6
Medicina,20,8
Ingenieria Informatica,18,2
Ingenieria Informatica,19,7
Ingenieria Informatica,26,4
Medicina,24,5
Psicologia,23,1
Ingenieria Informatica,24,6
Ingenieria Informatica,20,1
Derecho,26,5
Ingenieria Informatica,20,5
Ingenieria Informatica,26,5
Ingenieria Informatica,23,3
Ingenieria Civil,18,6
Arquitectura,19,5
Medicina,20,4
Derecho,25,6
Administracion de Empresas,21,4
Derecho,18,6
Derecho,23,4
Derecho,20,5
Medicina,20,6
Ingenieria Informatica,27,4
Administracion de Empresas,22,2
Arquitectura,21,5
Administracion de Empresas,20,7
Arquitectura,18,5
Economia,18,5
Ingenieria Informatica,25,4
Derecho,20,6
Derecho,22,4
Economia,18,4
Economia,18,7
Derecho,23,3
Ingenieria Informatica,23,6
Psicologia,27,7
Ingenieria Informatica,26,6
Psicologia,21,2
Ingenieria Civil,23,5
Medicina,22,4
Derecho,28,4
Medicina,26,5
Medicina,23,6
Medicina,23,4
Psicologia,26,4
Ingenieria Civil,23,4
Ingenieria Civil,26,7
Ingenieria Informatica,18,4
Arquitectura,23,2
Psicologia,20,1
Medicina,28,5
Ingenieria Informatica,26,3
Medicina,23,6
Ingenieria Civil,26,2
Derecho,27,3
Psicologia,22,2
Medicina,30,5
Derecho,21,6
Ingenieria Informatica,21,5
Medicina,25,2
Derecho,20,3
Ingenieria Informatica,22,5
Arquitectura,26,1
Ingenieria Informatica,22,4
Derecho,18,8
Medicina,24,4
Administracion de Empresas,19,2
Ingenieria Informatica,24,3
Ingenieria Informatica,24,3
Ingenieria Civil,26,9
Medicina,25,8
Psicologia,25,6
Economia,19,4
Ingenieria Informatica,24,7
Medicina,28,2
Derecho,19,7
Economia,27,6
Ingenieria Civil,20,4
Administracion de Empresas,19,7
Psicologia,22,4
Ingenieria Informatica,24,2
Economia,24,6
Economia,19,4
Ingenieria Informatica,23,6
Medicina,20,8
Ingenieria Informatica,18,3
Medicina,20,4
Psicologia,19,8
Medicina,24,6
Ingenieria Informatica,25,3
Medicina,20,3
Economia,23,3
Derecho,18,3
Medicina,24,5
Ingenieria Informatica,20,5
Economia,18,5
Arquitectura,24,3
Medicina,21,4
Ingenieria Informatica,21,1
Ingenieria Informatica,18,5
Ingenieria Informatica,24,7
Administracion de Empresas,24,2
Ingenieria Civil,22,5
Administracion de Empresas,18,3
Arquitectura,25,6
Medicina,21,5
Derecho,20,5
Psicologia,28,5
Ingenieria Informatica,19,7
Medicina,25,5
Derecho,23,3
Ingenieria Informatica,23,5
Medicina,23,4
Administracion de Empresas,23,5
Economia,22,4
Administracion de Empresas,21,3
Psicologia,26,5
Medicina,20,5
Psicologia,25,7
Administracion de Empresas,24,4
Arquitectura,24,1
Medicina,26,4
Derecho,21,1
Derecho,18,5
Medicina,22,1
Ingenieria Informatica,19,3
Ingenieria Informatica,19,4
Ingenieria Informatica,18,8
Arquitectura,20,2
Ingenieria Informatica,20,5
Ingenieria Informatica,18,6
Psicologia,24,7
Medicina,29,6
Administracion de Empresas,23,7
Ingenieria Informatica,21,6
Ingenieria Civil,21,2
Arquitectura,20,5
Arquitectura,22,6
Medicina,22,3
Psicologia,19,3
Ingenieria Informatica,27,3
Ingenieria Informatica,18,6
Ingenieria Informatica,24,4
Administracion de Empresas,21,4
Administracion de Empresas,27,2
Administracion de Empresas,23,4
Ingenieria Informatica,20,3
Medicina,22,5
Derecho,22,2
Medicina,20,5
Psicologia,19,4
Ingenieria Informatica,18,2
Psicologia,19,2
Administracion de Empresas,22,2
Ingenieria Informatica,22,4
Ingenieria Informatica,18,5
Derecho,21,5
Arquitectura,23,5
Medicina,22,3
Medicina,21,7
Arquitectura,20,4
Derecho,20,5
Medicina,21,4
Administracion de Empresas,22,5
Ingenieria Informatica,28,4
Derecho,19,5
Medicina,22,4
Economia,21,6
Administracion de Empresas,19,3
Administracion de Empresas,25,1
Administracion de Empresas,18,3
Ingenieria Civil,20,7
Psicologia,24,4
Administracion de Empresas,21,5
Derecho,19,2
Administracion de Empresas,23,5
Administracion de Empresas,24,2
Ingenieria Informatica,22,3
Administracion de Empresas,19,4
Ingenieria Informatica,23,5
Ingenieria Civil,20,6
Medicina,25,6
Ingenieria Civil,26,1
Administracion de Empresas,18,4
Derecho,22,4
Administracion de Empresas,18,1
Ingenieria Informatica,29,5
Medicina,21,4
Ingenieria Informatica,24,6
Derecho,21,5
Medicina,20,3
Psicologia,19,6
Ingenieria Informatica,26,1
Ingenieria Informatica,24,4
Medicina,28,1
Ingenieria Civil,22,3
Derecho,22,6
Medicina,22,2
Administracion de Empresas,21,2
Ingenieria Informatica,18,9
Economia,22,2
Derecho,19,8
Medicina,24,4
Administracion de Empresas,22,3
Ingenieria Informatica,22,6
Economia,27,7
Ingenieria Informatica,21,2
Derecho,24,3
Ingenieria Informatica,28,6
Derecho,25,5
Psicologia,25,7
Derecho,21,6
Derecho,22,8
Arquitectura,18,5
Ingenieria Informatica,23,5
Medicina,23,5
Ingenieria Informatica,22,4
Economia,25,6
Medicina,20,5
Psicologia,26,6
Derecho,24,6
Ingenieria Informatica,21,5
Ingenieria Informatica,21,6
Medicina,24,2
Medicina,27,3
Ingenieria Informatica,22,6
Ingenieria Informatica,22,7
Arquitectura,22,1
Economia,27,3
Medicina,21,5
Medicina,22,3
Ingenieria Informatica,26,3
Derecho,22,5
Arquitectura,25,8
Ingenieria Informatica,19,1
Ingenieria Informatica,21,4
Psicologia,26,5
Derecho,19,6
Ingenieria Informatica,21,5
Derecho,22,8
Medicina,20,5
Medicina,21,7
Psicologia,22,3
Psicologia,22,5
Medicina,26,2
Ingenieria Civil,26,6
Medicina,20,4
Psicologia,22,5
Administracion de Empresas,24,4
Arquitectura,26,6
Ingenieria Civil,24,5
Ingenieria Informatica,22,3
Ingenieria Civil,23,3
Arquitectura,24,4
Psicologia,19,6
Ingenieria Informatica,22,8
Psicologia,26,5
Arquitectura,21,7
Medicina,23,1
Ingenieria Civil,21,9
Ingenieria Informatica,18,6
Ingenieria Informatica,22,4
Administracion de Empresas,22,4
Administracion de Empresas,20,2
Derecho,18,3
Ingenieria Informatica,19,8
Economia,24,3
Ingenieria Informatica,27,2
Ingenieria Informatica,26,3
Ingenieria Informatica,18,2
Administracion de Empresas,24,5
Ingenieria Civil,20,7
Derecho,20,3
Arquitectura,20,2
Ingenieria Informatica,24,5
Administracion de Empresas,24,4
Administracion de Empresas,21,7
Administracion de Empresas,21,4
Ingenieria Informatica,23,4
Derecho,23,4
Administracion de Empresas,25,5
Psicologia,18,4
Administracion de Empresas,22,3
Ingenieria Informatica,18,1
Derecho,21,3
Ingenieria Informatica,21,6
Arquitectura,21,6
Derecho,19,4
Ingenieria Informatica,18,7
Economia,18,4
Administracion de Empresas,21,2
Ingenieria Informatica,20,1
Derecho,19,7
Medicina,26,4
Psicologia,19,2
Psicologia,26,1
Economia,26,4
Administracion de Empresas,18,5
Administracion de Empresas,22,3
Psicologia,20,2
Ingenieria Informatica,18,3
Administracion de Empresas,18,7
Administracion de Empresas,24,2
Ingenieria Informatica,28,3
Medicina,25,7
Arquitectura,22,5
Arquitectura,21,5
Ingenieria Informatica,27,3
Ingenieria Informatica,28,5
Medicina,21,3
Arquitectura,18,3
Ingenieria Informatica,18,2
Derecho,25,6
Ingenieria Informatica,21,4
Derecho,22,5
Medicina,20,5
Psicologia,19,5
Ingenieria Informatica,21,4
Derecho,22,4
Ingenieria Informatica,20,3
Derecho,18,2
Arquitectura,19,2
Ingenieria Informatica,25,4
Arquitectura,22,1
Administracion de Empresas,23,2
Ingenieria Informatica,19,7
Medicina,20,5
Ingenieria Informatica,20,4
Derecho,19,9
Psicologia,23,1
Ingenieria Informatica,31,6
Administracion de Empresas,24,4
Psicologia,30,6
Ingenieria Civil,23,5
Administracion de Empresas,20,1
Ingenieria Civil,23,5
Administracion de Empresas,27,5
Medicina,28,1
Arquitectura,20,8
Administracion de Empresas,22,5
Administracion de Empresas,18,6
Administracion de Empresas,24,2
Arquitectura,26,6
Arquitectura,22,7
Medicina,20,5
Medicina,24,4
Administracion de Empresas,23,3
Administracion de Empresas,22,4
Ingenieria Informatica,22,3
Psicologia,21,6
Administracion de Empresas,24,3
Medicina,25,6
Ingenieria Informatica,19,3
Ingenieria Informatica,18,4
Ingenieria Civil,21,6
Medicina,25,3
Ingenieria Informatica,22,6
Administracion de Empresas,20,6
Medicina,23,4
Ingenieria Informatica,21,7
Medicina,25,5
Administracion de Empresas,22,7
Administracion de Empresas,21,8
Medicina,23,4
Medicina,26,6
Economia,20,3
Medicina,24,2
Medicina,22,4
Ingenieria Informatica,23,2
Administracion de Empresas,20,3
Psicologia,22,6
Ingenieria Informatica,25,3
Derecho,19,6
Ingenieria Informatica,18,5
Medicina,20,8
Psicologia,18,6
Medicina,24,7
Administracion de Empresas,18,5
Ingenieria Informatica,21,5
Psicologia,23,7
Ingenieria Informatica,23,6
Arquitectura,20,5
Ingenieria Informatica,22,5
Arquitectura,22,6
Medicina,22,3
Psicologia,21,3
Medicina,29,7
Ingenieria Civil,24,8
Ingenieria Informatica,29,3
Ingenieria Informatica,20,3
Administracion de Empresas,21,7
Ingenieria Informatica,18,6
Ingenieria Informatica,19,6
Ingenieria Civil,27,6
Economia,20,4
Medicina,28,5
Ingenieria Civil,18,5
Administracion de Empresas,18,3
Medicina,21,5
Derecho,21,7
Derecho,24,4
Economia,23,5
Medicina,21,5
Derecho,21,4
Ingenieria Informatica,21,6
Ingenieria Informatica,19,3
Ingenieria Informatica,19,7
Economia,25,6
Psicologia,18,3
Psicologia,26,8
Administracion de Empresas,20,5
Medicina,20,3
Ingenieria Informatica,24,7
Medicina,27,5
Medicina,26,1
Psicologia,23,3
Administracion de Empresas,25,5
Ingenieria Informatica,18,1
Ingenieria Informatica,20,5
Ingenieria Informatica,19,5
Medicina,26,2
Ingenieria Civil,20,5
Derecho,24,5
Psicologia,23,2
Administracion de Empresas,19,6
Medicina,21,6
Ingenieria Informatica,25,4
Arquitectura,19,4
Psicologia,22,6
Ingenieria Informatica,19,4
Administracion de Empresas,21,1
Administracion de Empresas,21,5
Derecho,19,3
Ingenieria Civil,19,4
Administracion de Empresas,22,7
Administracion de Empresas,19,4
Ingenieria Informatica,19,5
Ingenieria Informatica,19,6
Ingenieria Informatica,21,6
Ingenieria Informatica,24,3
Psicologia,26,4
Psicologia,19,5
Ingenieria Informatica,28,5
Arquitectura,18,5
Ingenieria Informatica,25,10
Medicina,20,2
Ingenieria Informatica,19,6
Medicina,20,7
Medicina,22,5
Administracion de Empresas,23,3
Medicina,25,8
Economia,19,1
Ingenieria Informatica,19,3
Ingenieria Informatica,19,7
Ingenieria Informatica,21,4
Derecho,21,8
Ingenieria Informatica,19,1
Arquitectura,22,2
Administracion de Empresas,28,3
Administracion de Empresas,20,5
Administracion de Empresas,20,4
Ingenieria Informatica,23,4
Ingenieria Informatica,20,7
Medicina,25,8
Administracion de Empresas,19,4
Ingenieria Informatica,27,1
Ingenieria Informatica,23,1
Economia,20,5
Ingenieria Informatica,20,6
Psicologia,20,5
Psicologia,26,4
Medicina,20,3
Ingenieria Informatica,19,6
Ingenieria Informatica,20,8
Derecho,21,1
Derecho,21,4
Psicologia,18,3
Ingenieria Civil,20,2
Derecho,21,2
Ingenieria Informatica,20,5
Ingenieria Informatica,24,5
Arquitectura,24,7
Ingenieria Informatica,21,5
Ingenieria Informatica,22,1
Derecho,18,4
Medicina,21,2
Ingenieria Civil,25,2
Derecho,20,6
Ingenieria Informatica,19,5
Ingenieria Civil,28,6
Medicina,28,4
Medicina,24,6
